SL,ID,Year,  Market Capitalization  ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,TA,CC,FFR
1,TMP,2011," 428,342,340 ",0.005,1.277,5.532,0.12,0.011,0.014,0.03635,0.16867013,0.07891732,-0.07418798
1,TMP,2012," 569,355,543 ",0.329,0.84,6.747,0.081,0.007,0.01,0.03683,0.04516528,0.08375812,0.038678035
1,TMP,2013," 755,896,589 ",0.328,1.175,6.94,0.115,0.01,0.014,0.02997,0.1906104,0.06985453,-0.032918242
1,TMP,2014," 816,398,213 ",0.08,1.108,7.867,0.107,0.01,0.014,0.02929,0.2225848,0.06948862,-0.019226831
1,TMP,2015," 836,855,660 ",0.025,1.379,9.279,0.115,0.011,0.015,0.03027,0.03465815,0.06980992,0.045117896
1,TMP,2016," 1,423,389,891 ",0.701,1.81,13.276,0.108,0.01,0.013,0.01872,-0.00352006,0.06082166,0.259561475
1,TMP,2017," 1,236,784,388 ",-0.131,2.024,22.846,0.091,0.008,0.013,0.02237,-0.00228602,0.06495718,0.607769746
1,TMP,2018," 1,145,996,404 ",-0.073,1.896,12.701,0.138,0.012,0.014,0.02586,-0.04127998,0.06596819,0.831640169
1,TMP,2019," 1,367,031,594 ",0.193,1.112,7.657,0.125,0.012,0.014,0.02208,-0.08568912,0.0491605,0.326158154
2,WASH,2011," 388,658,522 ",0.099,2.108,17.029,0.106,0.01,0.013,0.02682,0.16867013,0.07891732,-0.07418798
2,WASH,2012," 430,728,166 ",0.108,1.337,205.07,0.119,0.012,0.015,0.02851,0.04516528,0.08375812,0.038678035
2,WASH,2013," 617,866,330 ",0.434,0.943,3.968,0.115,0.012,0.016,0.01148,0.1906104,0.06985453,-0.032918242
2,WASH,2014," 672,020,424 ",0.088,1.239,-166.4,0.119,0.012,0.017,0.01782,0.2225848,0.06948862,-0.019226831
2,WASH,2015," 671,901,533 ",0,1.07,8.586,0.119,0.012,0.016,0.02261,0.03465815,0.06980992,0.045117896
2,WASH,2016," 959,661,588 ",0.428,2.23,15.389,0.119,0.011,0.015,0.01772,-0.00352006,0.06082166,0.259561475
2,WASH,2017," 917,011,807 ",-0.044,1.97,14.381,0.112,0.01,0.015,0.02134,-0.00228602,0.06495718,0.607769746
2,WASH,2018," 822,010,912 ",-0.104,2.172,12.337,0.16,0.014,0.016,0.02405,-0.04127998,0.06596819,0.831640169
2,WASH,2019," 933,294,314 ",0.135,2.369,16.918,0.141,0.013,0.014,0.03582,-0.08568912,0.0491605,0.326158154
3,THFF,2011," 437,686,246 ",-0.053,0.71,5.9,0.108,0.014,0.019,0.02499,0.16867013,0.07891732,-0.07418798
3,THFF,2012," 400,302,696 ",-0.085,0.431,3.683,0.09,0.011,0.016,0.02557,0.04516528,0.08375812,0.038678035
