SL,ID,Year, Market Capitalization ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
1,TMP,2010,"426,163,399",0.082,1.665,7.375,0.127,0.011,0.014,,14.688,6.887,0.183,-28.982
1,TMP,2011,"428,342,340",0.005,1.277,5.532,0.12,0.011,0.014,,14.877,6.972,0.072,-20.251
1,TMP,2012,"569,355,543",0.329,0.84,6.747,0.081,0.007,0.01,,14.881,7.053,0.165,-15.307
1,TMP,2013,"755,896,589",0.328,1.175,6.94,0.115,0.01,0.014,,15.2,7.115,0.085,-7.407
1,TMP,2014,"816,398,213",0.08,1.108,7.867,0.107,0.01,0.014,,15.319,7.19,0.123,-2.841
1,TMP,2015,"836,855,660",0.025,1.379,9.279,0.115,0.011,0.015,,15.317,7.255,0.241,-1.759
1,TMP,2016,"1,423,389,891",0.701,1.81,13.276,0.108,0.01,0.013,,15.311,7.313,0.54,-0.519
1,TMP,2017,"1,236,784,388",-0.131,2.024,22.846,0.091,0.008,0.013,,15.308,7.381,1.302,-0.088
1,TMP,2018,"1,145,996,404",-0.073,1.896,12.701,0.138,0.012,0.014,,15.222,7.442,2.274,0.013
1,TMP,2019,"1,367,031,594",0.193,1.112,7.657,0.125,0.012,0.014,,15.23,7.492,1.551,0.029
2,WASH,2010,"353,619,615",0.415,2.065,19.303,0.091,0.008,0.01,,14.688,6.887,0.183,-28.982
2,WASH,2011,"388,658,522",0.099,2.108,17.029,0.106,0.01,0.013,,14.877,6.972,0.072,-20.251
2,WASH,2012,"430,728,166",0.108,1.337,205.07,0.119,0.012,0.015,,14.881,7.053,0.165,-15.307
2,WASH,2013,"617,866,330",0.434,0.943,3.968,0.115,0.012,0.016,,15.2,7.115,0.085,-7.407
2,WASH,2014,"672,020,424",0.088,1.239,-166.4,0.119,0.012,0.017,,15.319,7.19,0.123,-2.841
2,WASH,2015,"671,901,533",0,1.07,8.586,0.119,0.012,0.016,,15.317,7.255,0.241,-1.759
2,WASH,2016,"959,661,588",0.428,2.23,15.389,0.119,0.011,0.015,,15.311,7.313,0.54,-0.519
2,WASH,2017,"917,011,807",-0.044,1.97,14.381,0.112,0.01,0.015,,15.308,7.381,1.302,-0.088
2,WASH,2018,"822,010,912",-0.104,2.172,12.337,0.16,0.014,0.016,,15.222,7.442,2.274,0.013
2,WASH,2019,"933,294,314",0.135,2.369,16.918,0.141,0.013,0.014,,15.23,7.492,1.551,0.029
3,THFF,2010,"462,148,278",0.153,0.497,3.464,0.087,0.011,0.015,,14.688,6.887,0.183,-28.982
3,THFF,2011,"437,686,246",-0.053,0.71,5.9,0.108,0.014,0.019,,14.877,6.972,0.072,-20.251
3,THFF,2012,"400,302,696",-0.085,0.431,3.683,0.09,0.011,0.016,,14.881,7.053,0.165,-15.307
3,THFF,2013,"486,522,127",0.215,0.305,1.959,0.084,0.011,0.015,,15.2,7.115,0.085,-7.407
3,THFF,2014,"459,704,845",-0.055,0.154,1.159,0.084,0.011,0.016,,15.319,7.19,0.123,-2.841
3,THFF,2015,"431,550,430",-0.061,0.113,1.232,0.074,0.01,0.014,,15.317,7.255,0.241,-1.759
3,THFF,2016,"643,406,914",0.491,0.196,2.127,0.092,0.013,0.02,,15.311,7.313,0.54,-0.519
3,THFF,2017,"554,347,062",-0.138,0.139,1.223,0.068,0.01,0.017,,15.308,7.381,1.302,-0.088
3,THFF,2018,"492,040,057",-0.112,0.157,1.257,0.109,0.016,0.02,,15.222,7.442,2.274,0.013
3,THFF,2019,"626,974,591",0.274,0.199,2.277,0.095,0.014,0.018,,15.23,7.492,1.551,0.029
4,CTBI,2010,"441,644,315",0.192,0.828,4.764,0.099,0.01,0.015,,14.688,6.887,0.183,-28.982
4,CTBI,2011,"453,896,967",0.028,0.854,5.095,0.109,0.011,0.016,,14.877,6.972,0.072,-20.251
4,CTBI,2012,"511,773,357",0.128,0.712,5.311,0.115,0.012,0.018,,14.881,7.053,0.165,-15.307
4,CTBI,2013,"713,678,428",0.395,0.686,3.194,0.111,0.012,0.017,,15.2,7.115,0.085,-7.407
